Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Combined_Topic,Text
57207206856,"Nexus of Regenerative Tourism Destination Competitiveness, Climate Advocacy and Visit Intention: Mediating Role of Travel FOMO and Destination Loyalty",2024,the game theory is aiding global tourism research to leverage destination appeal and competitiveness in the context of climate change advocacy as global tourism continues to play a vital role in economic development and cultural exchange there is a growing need to unravel the complexities of tourist behavior and destination competitiveness therefore this study aims to utilize the game theory to investigate the relationships between fear of missing out fomo regenerative tourism destination competitiveness rtdc tourist visit intention tvi and destination loyalty dl within the uae with the moderating role of climate advocacy an online survey using google forms was distributed via social media platforms primarily facebook groups resulting in data collection from 296 respondents smart pls 4 and spss were utilized for data analysis the findings revealed that rtdc had significant positive relationships with fomo dl and tvi thus supporting hypotheses 1 to 10 however the hypothesis regarding climate advocacy moderating dl and tvi was not supported based on the game theory this study contributes to the theoretical understanding of regenerative tourism destination competitiveness and offers practical implications for destination management strategies limitations include reliance on self reported data and context specific considerations future studies should also consider cultural contexts to enhance the external validity of research outcomes 2024 by the author,advocacy climate change competitiveness economic development game theory international tourism questionnaire survey supply chain management tourism management tourist behavior tourist destination climate advocacy destination competitiveness destination loyalty game theory regenerative tourism tourist visit intention travel fomo,English,Article,212,12,Urban_Sustainability,the game theory is aiding global tourism research to leverage destination appeal and competitiveness in the context of climate change advocacy as global tourism continues to play a vital role in economic development and cultural exchange there is a growing need to unravel the complexities of tourist behavior and destination competitiveness therefore this study aims to utilize the game theory to investigate the relationships between fear of missing out fomo regenerative tourism destination competitiveness rtdc tourist visit intention tvi and destination loyalty dl within the uae with the moderating role of climate advocacy an online survey using google forms was distributed via social media platforms primarily facebook groups resulting in data collection from 296 respondents smart pls 4 and spss were utilized for data analysis the findings revealed that rtdc had significant positive relationships with fomo dl and tvi thus supporting hypotheses 1 to 10 however the hypothesis regarding climate advocacy moderating dl and tvi was not supported based on the game theory this study contributes to the theoretical understanding of regenerative tourism destination competitiveness and offers practical implications for destination management strategies limitations include reliance on self reported data and context specific considerations future studies should also consider cultural contexts to enhance the external validity of research outcomes 2024 by the author advocacy climate change competitiveness economic development game theory international tourism questionnaire survey supply chain management tourism management tourist behavior tourist destination climate advocacy destination competitiveness destination loyalty game theory regenerative tourism tourist visit intention travel fomo
57202611305; 56528513300; 58138387200; 59266940500,The Role of AI Self-Efficacy in Religious Contexts in Public Sector: The Social Cognitive Theory Perspective,2024,this study seeks to examine the relationship between religious tour operators ai tech trust and intent to adopt ai decisions through ai self efficacy this study also aims to find out the role of ai chatbots as a moderator in the relationship between the tour operators ai tech trust and ai self efficacy as well as the relationship between tour operators ai self efficacy and intent to adopt ai decisions this study sample was 182 participants who are leaders of different tourist operators registered with the government of pakistan and provide religious tour services to the general public to make religious tours to the holy muslim cities of iraq syria saudi arabia and iran the results provided evidence that ai tech trust had a significant influence on ai self efficacy which in turn generated a relevant effect on intent to adopt ai decisions moreover the findings of this study also indicated that ai chabot to moderate the link between tour operators ai tech trust and ai self efficacy as well as between ai self efficacy and intent to adopt ai decisions was also proven to be significant the author s under exclusive licence to springer science business media llc part of springer nature 2024,ai chatbot use ai self efficacy ai tech trust intent to adopt ai decision religious tour operators,English,Article,193,9,Sustainability,this study seeks to examine the relationship between religious tour operators ai tech trust and intent to adopt ai decisions through ai self efficacy this study also aims to find out the role of ai chatbots as a moderator in the relationship between the tour operators ai tech trust and ai self efficacy as well as the relationship between tour operators ai self efficacy and intent to adopt ai decisions this study sample was 182 participants who are leaders of different tourist operators registered with the government of pakistan and provide religious tour services to the general public to make religious tours to the holy muslim cities of iraq syria saudi arabia and iran the results provided evidence that ai tech trust had a significant influence on ai self efficacy which in turn generated a relevant effect on intent to adopt ai decisions moreover the findings of this study also indicated that ai chabot to moderate the link between tour operators ai tech trust and ai self efficacy as well as between ai self efficacy and intent to adopt ai decisions was also proven to be significant the author s under exclusive licence to springer science business media llc part of springer nature 2024 ai chatbot use ai self efficacy ai tech trust intent to adopt ai decision religious tour operators
58884148700,Container Classification: A Hybrid AHP-CNN Approach for Efficient Logistics Management,2024,this research presents a groundbreaking approach that integrates artificial intelligence ai and big data for container classification utilizing the analytic hierarchy process ahp and convolutional neural network cnn the study aims to address the challenges associated with prioritizing containers based on weight destination special requirements financial considerations and additional criteria the multi criteria ahp method is employed to determine the relative importance of each criterion providing weighted inputs for the subsequent cnn classification the hybrid ahp cnn model is strategically designed to optimize container classification minimizing reshuffling movements within container yards and facilitating efficient prioritization through a comprehensive simulation the effectiveness and adaptability of the proposed model are showcased the study includes a sensitivity analysis evaluating the accuracy of the model across various weight scenarios the results demonstrate the robustness of the hybrid model achieving a high level of accuracy in container classification notably in three distinct scenarios the model exhibited accuracy rates of 89 00 88 84 and 91 05 respectively seecmar all rights reserved,analytic hierarchy process artificial intelligence big data container classification convolutional neural network logistics management,English,Article,163,3,Tourism_Experience,this research presents a groundbreaking approach that integrates artificial intelligence ai and big data for container classification utilizing the analytic hierarchy process ahp and convolutional neural network cnn the study aims to address the challenges associated with prioritizing containers based on weight destination special requirements financial considerations and additional criteria the multi criteria ahp method is employed to determine the relative importance of each criterion providing weighted inputs for the subsequent cnn classification the hybrid ahp cnn model is strategically designed to optimize container classification minimizing reshuffling movements within container yards and facilitating efficient prioritization through a comprehensive simulation the effectiveness and adaptability of the proposed model are showcased the study includes a sensitivity analysis evaluating the accuracy of the model across various weight scenarios the results demonstrate the robustness of the hybrid model achieving a high level of accuracy in container classification notably in three distinct scenarios the model exhibited accuracy rates of 89 00 88 84 and 91 05 respectively seecmar all rights reserved analytic hierarchy process artificial intelligence big data container classification convolutional neural network logistics management
57544026100; 57989302300; 57226008733,Delineation of artificial intelligence in the hospitality and tourism industries,2024,by understanding how ai affects organizational operations stakeholders can plan and profit from these improvements this chapter summarizes ai related hotel marketing trends for competitiveness artificial intelligence enhances internal processes by using data and information better worker capabilities are increased and bulk customisation is possible by measuring roi improving sustainability and regulating data use laws and ethics ai affects stakeholder relationships ai focuses on and integrates commercial networks changing distribution paradigms ai makes product and service design and customer support smarter and more predictive product and service development is improved and predictive using ai ai s impact on hospitality and tourist marketing is discussed academics and industry people discuss its research to maximize income deliver customized experiences and increase operational efficiency hospitality and tourism are using ai ai driven research and automation may help digital organizations stand out create unique customer experiences and grow sustainably 2024 by igi global all rights reserved,,English,Book chapter,150,2,Smart_Mobility,by understanding how ai affects organizational operations stakeholders can plan and profit from these improvements this chapter summarizes ai related hotel marketing trends for competitiveness artificial intelligence enhances internal processes by using data and information better worker capabilities are increased and bulk customisation is possible by measuring roi improving sustainability and regulating data use laws and ethics ai affects stakeholder relationships ai focuses on and integrates commercial networks changing distribution paradigms ai makes product and service design and customer support smarter and more predictive product and service development is improved and predictive using ai ai s impact on hospitality and tourist marketing is discussed academics and industry people discuss its research to maximize income deliver customized experiences and increase operational efficiency hospitality and tourism are using ai ai driven research and automation may help digital organizations stand out create unique customer experiences and grow sustainably 2024 by igi global all rights reserved 
58789367400; 57210277581; 58789367300,Embracing technological disruption: Exploring the adoption of AI-driven solutions in tourism and hospitality,2024,in recent years the tourist and hospitality business has undergone substantial technological disruption due to the rapid progress and use of artificial intelligence ai based solutions this research study seeks to investigate the present status of ai implementation namely chatbots in the tourism and hospitality industry it will analyze the primary factors that motivate the acceptance of these revolutionary technologies as well as the obstacles encountered and the services offered in accepting them the article examines the use of ai in improving the customer experience streamlining operations and fostering innovation in different parts of the tourist and hospitality business this is done by doing a thorough study of relevant literature and analyzing case studies from the industry the results of this study can provide valuable insights for decision making influence future research priorities and ultimately assist the industry in effectively utilizing ai to remain competitive and adaptable to the changing demands of customers in the digital era 2024 by igi global all rights reserved,,English,Book chapter,164,9,Sustainability,in recent years the tourist and hospitality business has undergone substantial technological disruption due to the rapid progress and use of artificial intelligence ai based solutions this research study seeks to investigate the present status of ai implementation namely chatbots in the tourism and hospitality industry it will analyze the primary factors that motivate the acceptance of these revolutionary technologies as well as the obstacles encountered and the services offered in accepting them the article examines the use of ai in improving the customer experience streamlining operations and fostering innovation in different parts of the tourist and hospitality business this is done by doing a thorough study of relevant literature and analyzing case studies from the industry the results of this study can provide valuable insights for decision making influence future research priorities and ultimately assist the industry in effectively utilizing ai to remain competitive and adaptable to the changing demands of customers in the digital era 2024 by igi global all rights reserved 
57202296357; 59378683200; 16038932100; 59218179800,Local Government Tourism Officer satisfaction with the Smart Destination model: A case study with the Kano method,2024,the aim of this research is to analyse local government tourism officer satisfaction with a smart destination model using the kano method a causal model is proposed with four antecedent variables of tourism officer satisfaction with the smart destination model perceived usefulness perceived ease of use trust in and challenges of the model the smart destination model applied to a smart destination network in the valencian community spain is taken as a case study the results show that trust ease of use and challenges have a linear relationship with satisfaction while usefulness has a non linear relationship however structural equation modelling analysis shows that only trust in the model significantly influences local government tourism officer satisfaction with the model 2024 elsevier ltd,challenges of the task employee satisfaction with the task kano model local government tourist officer smart tourism destination trust in the task,English,Article,122,9,Sustainability,the aim of this research is to analyse local government tourism officer satisfaction with a smart destination model using the kano method a causal model is proposed with four antecedent variables of tourism officer satisfaction with the smart destination model perceived usefulness perceived ease of use trust in and challenges of the model the smart destination model applied to a smart destination network in the valencian community spain is taken as a case study the results show that trust ease of use and challenges have a linear relationship with satisfaction while usefulness has a non linear relationship however structural equation modelling analysis shows that only trust in the model significantly influences local government tourism officer satisfaction with the model 2024 elsevier ltd challenges of the task employee satisfaction with the task kano model local government tourist officer smart tourism destination trust in the task
59347841900; 57224002152; 57203517444; 7402956932; 6603028733; 7005317462,Snap&Nav: Smartphone-based Indoor Navigation System for Blind People via Floor Map Analysis and Intersection Detection,2024,we present snap nav a navigation system for blind people in unfamiliar buildings without prebuilt digital maps instead the system utilizes the floor map as its primary information source for route guidance the system requires a sighted assistant to capture an image of the floor map which is analyzed to create a node map containing intersections destinations and current positions on the floor the system provides turn by turn navigation instructions while tracking users positions on the node map by detecting intersections additionally the system estimates the scale difference of the node map to provide distance information our system was validated through two user studies with 20 sighted and 12 blind participants results showed that sighted participants processed floor map images without being accustomed to the system while blind participants navigated with increased confidence and lower cognitive load compared to the condition using only cane appreciating the system s potential for use in various buildings 2024 acm,mapping mobility aids for blind persons blind people digital map indoor navigation system information sources intersection detection map analysis map less navigation orientation and mobility smart phones visual impairment navigation systems intersection detection map less navigation orientation and mobility visual impairment,English,Article,154,6,Tech_Communication,we present snap nav a navigation system for blind people in unfamiliar buildings without prebuilt digital maps instead the system utilizes the floor map as its primary information source for route guidance the system requires a sighted assistant to capture an image of the floor map which is analyzed to create a node map containing intersections destinations and current positions on the floor the system provides turn by turn navigation instructions while tracking users positions on the node map by detecting intersections additionally the system estimates the scale difference of the node map to provide distance information our system was validated through two user studies with 20 sighted and 12 blind participants results showed that sighted participants processed floor map images without being accustomed to the system while blind participants navigated with increased confidence and lower cognitive load compared to the condition using only cane appreciating the system s potential for use in various buildings 2024 acm mapping mobility aids for blind persons blind people digital map indoor navigation system information sources intersection detection map analysis map less navigation orientation and mobility smart phones visual impairment navigation systems intersection detection map less navigation orientation and mobility visual impairment
59297969400; 57943847600; 59298597500; 30268086700,Evolutionary computation for unmanned aerial vehicle path planning: a survey,2024,unmanned aerial vehicle uav path planning aims to find the optimal flight path from the start point to the destination point for each aerial vehicle with the rapid development of uav technology uavs are required to tackle missions in increasingly complex environments consequently uav path planning encounters more challenges causing traditional deterministic algorithms to struggle to find the optimal path within a certain time evolutionary computation ec is a series of nature inspired methodologies and algorithms which have shown effectiveness and efficiency in solving many complex optimization problems in real world applications recently ec algorithms have been effectively applied in uav path planning and have shown encouraging performance in obtaining high quality solutions therefore it is crucial to review the related research experience and literature in the field of using ec for uav path planning this paper presents a comprehensive survey to showcase the existing studies on ec in uav path planning especially in complex environments the paper first proposes a novel taxonomy to categorize the relevant studies into three different categories according to the complex environmental properties of the application scenarios these environmental properties include complex search space complex time control and complex optimization objectives then the ec algorithms for uav path planning in these complex environments are further systematically surveyed as constrained search space and large scale search space in complex search space dynamic uav path planning and multi uav concurrent path planning in complex time control and expensive objective and multiple objectives in complex optimization objectives finally some potential future research directions for applying ec algorithms to uav path planning are presented and discussed the author s 2024,complex environments evolutionary algorithms evolutionary computation ec path planning swarm intelligence unmanned aerial vehicle uav constrained optimization motion planning swarm intelligence aerial vehicle complex environments complex optimization complex search spaces computation algorithm environmental property evolutionary computation time control unmanned aerial vehicle vehicle path planning unmanned aerial vehicles uav,English,Article,266,1,AI_Tourism,unmanned aerial vehicle uav path planning aims to find the optimal flight path from the start point to the destination point for each aerial vehicle with the rapid development of uav technology uavs are required to tackle missions in increasingly complex environments consequently uav path planning encounters more challenges causing traditional deterministic algorithms to struggle to find the optimal path within a certain time evolutionary computation ec is a series of nature inspired methodologies and algorithms which have shown effectiveness and efficiency in solving many complex optimization problems in real world applications recently ec algorithms have been effectively applied in uav path planning and have shown encouraging performance in obtaining high quality solutions therefore it is crucial to review the related research experience and literature in the field of using ec for uav path planning this paper presents a comprehensive survey to showcase the existing studies on ec in uav path planning especially in complex environments the paper first proposes a novel taxonomy to categorize the relevant studies into three different categories according to the complex environmental properties of the application scenarios these environmental properties include complex search space complex time control and complex optimization objectives then the ec algorithms for uav path planning in these complex environments are further systematically surveyed as constrained search space and large scale search space in complex search space dynamic uav path planning and multi uav concurrent path planning in complex time control and expensive objective and multiple objectives in complex optimization objectives finally some potential future research directions for applying ec algorithms to uav path planning are presented and discussed the author s 2024 complex environments evolutionary algorithms evolutionary computation ec path planning swarm intelligence unmanned aerial vehicle uav constrained optimization motion planning swarm intelligence aerial vehicle complex environments complex optimization complex search spaces computation algorithm environmental property evolutionary computation time control unmanned aerial vehicle vehicle path planning unmanned aerial vehicles uav
57224131342; 57202600902; 54390146700,AI-thenticity: Exploring the effect of perceived authenticity of AI-generated visual content on tourist patronage intentions,2024,artificial intelligence ai can generate high quality destination images to attract prospective visitors the perceived authenticity of these images can determine the extent to which tourists will patronize a destination this study proposes the concept of ai thenticity defined indexically as the originality of artificial intelligence generated content and iconically as how accurately and faithfully artificial intelligence generated content reproduces the original experimental research design is employed to explore the relationships between ai versus human made labelled and non labelled destination photos perceived authenticity trust congruence and patronage intentions the results show that perceived authenticity of ai generated images positively influences trust and patronage intentions notably congruence between ai generated images and tourists mediates the relationship between ai thenticity and patronage intentions although perceived authenticity is more pronounced for human generated images perceived authenticity of ai generated content is significant especially if it is non labelled theoretically the study demonstrates how ai thenticity can aid in understanding the concept of authenticity in a rapidly digitizing world practically the study shows the potential of ai for destination management and marketing 2024 elsevier ltd,artificial intelligence authenticity congruence destination photos patronage intention trust,English,Article,170,9,Sustainability,artificial intelligence ai can generate high quality destination images to attract prospective visitors the perceived authenticity of these images can determine the extent to which tourists will patronize a destination this study proposes the concept of ai thenticity defined indexically as the originality of artificial intelligence generated content and iconically as how accurately and faithfully artificial intelligence generated content reproduces the original experimental research design is employed to explore the relationships between ai versus human made labelled and non labelled destination photos perceived authenticity trust congruence and patronage intentions the results show that perceived authenticity of ai generated images positively influences trust and patronage intentions notably congruence between ai generated images and tourists mediates the relationship between ai thenticity and patronage intentions although perceived authenticity is more pronounced for human generated images perceived authenticity of ai generated content is significant especially if it is non labelled theoretically the study demonstrates how ai thenticity can aid in understanding the concept of authenticity in a rapidly digitizing world practically the study shows the potential of ai for destination management and marketing 2024 elsevier ltd artificial intelligence authenticity congruence destination photos patronage intention trust
57192540708; 57218159059; 43561588700; 53868114900; 56125466900,Integrating multiple data sources for improved flight delay prediction using explainable machine learning,2024,flight delays negatively impact costs customer satisfaction and revenue in the aviation industry as a result it is critical to identify the factors that cause flight delays for each airport as they can vary depending on various attributes associated with their operations this study proposes an explainable artificial intelligence xai methodology for identifying the features that affect airport delays by integrating data from multiple sources and implementing explainable artificial intelligence the methodology incorporates operational data airport information geographic data and weather data combined and used to train a series of machine learning models furthermore the shap and sobol techniques are used to thoroughly analyze the features that influence flight delays for the specific case of the airport in santiago chile the results show that a linear discriminant analysis model is best suited for predicting flight delays in this specific case study and the features that have the most significant impact on delays are the international flight status average temperature at the destination airport wind speed and average temperature at santiago airport the proposed methodology could be applied by airlines that can collect data from multiple sources and conduct similar investigations leading to the development of a decision support system to make better informed decisions and reduce the impact of flight delays 2024 the author s,explainable machine learning flight delays shap method sobol method,English,Article,214,10,Tourism_Experience,flight delays negatively impact costs customer satisfaction and revenue in the aviation industry as a result it is critical to identify the factors that cause flight delays for each airport as they can vary depending on various attributes associated with their operations this study proposes an explainable artificial intelligence xai methodology for identifying the features that affect airport delays by integrating data from multiple sources and implementing explainable artificial intelligence the methodology incorporates operational data airport information geographic data and weather data combined and used to train a series of machine learning models furthermore the shap and sobol techniques are used to thoroughly analyze the features that influence flight delays for the specific case of the airport in santiago chile the results show that a linear discriminant analysis model is best suited for predicting flight delays in this specific case study and the features that have the most significant impact on delays are the international flight status average temperature at the destination airport wind speed and average temperature at santiago airport the proposed methodology could be applied by airlines that can collect data from multiple sources and conduct similar investigations leading to the development of a decision support system to make better informed decisions and reduce the impact of flight delays 2024 the author s explainable machine learning flight delays shap method sobol method
