Author(s) ID,Title,Year,Abstract,Keywords,Language of Original Document,Document Type,Abstract Length,Topic_Label,Topic_Category
56841622100; 57194065494,The Resource Curse in the Gulf Region: Charting a Path for Long-term Economic Sustainability,2024,"The economies of the Gulf states have been reliant on abundant petroleum resources for over a century. The region has experienced substantial economic success in recent decades, attributed to its competitive advantage as the world’s oil empire. This success is especially noteworthy given that oil is a major economic resource in the area. However, a new debate has emerged, focusing on the concept of the resource curse resulting from the overdependence of Gulf economies on the petrol dollar. This reliance jeopardizes the long-term and future economic sustainability of the Gulf Cooperation Council (GCC) states. This piece employs a narrative literature review to illustrate how petroleum has shaped the economic landscape, and also the oil market volatility on the economic landscape of the region. The review emphasizes on the necessity for the region to shift its economic and institutional over-dependence away from the petrol dollar to other sustainable alternative economic domains. The review proposes strategic economic directions to guide the region towards a diversified and sustainable economic portfolio, reflecting significant potential for the economy of the region and its states. Sustainable economic development portfolios such as sustainable agriculture, renewable energy, smart cities, real estate development, sports, banking, tourism, and travel were analyzed. © 2024, Econjournals. All rights reserved.",", Crude Oil; Economic Development; Economic Sustainability; Gulf Region; Resource curse",English,Article,207,11,Rural Resource Management
57798467800; 59328142900; 57216565808,Smart city construction empowers tourism: mechanism analysis and spatial spillover effects,2024,"It has been more than ten years since China’s smart city was designated. However, no studies have given rigorous empirical evidence on the development of tourism under the construction of smart cities. Based on the panel data of 297 cities from 2000 to 2021, this paper uses three batches of smart city designations in China as quasi-natural experiments and constructs a time-varying difference-in-difference (DID) model to empirically test the tourism economic effects of smart city construction. It is found that smart city designation significantly increases urban tourism revenue by 24.3% and tourist arrivals by 17.2%. After the parallel trend test, the results of the dynamic DID model reveal the increasing tourism economic effect as the smart city construction progresses. Moreover, the potential Selection Bias and the specificity of the four municipalities in the model are taken into account, and false designated cities are randomly generated as placebos. A series of robustness tests enhance the credibility of the findings. Combined with the availability of data, this study verifies four main impact mechanisms, including attracting tourism investment, stimulating tourism entrepreneurial activities, improving tourism operational efficiency, and attracting relevant talents to work in tourism. Considering that the growth of smart economy may break the spatial barrier, we combine the spatial Durbin model with the DID model. The results based on the three spatial weight matrices all support the existence of spatial spillover tourism economic effects of the smart city construction. This study has implications for other countries with plans to upgrade urban construction patterns and transform traditional tourism. © The Author(s) 2024.",,English,Article,259,11,Rural Resource Management
57713660300; 57189053683; 58675657800; 58675280700; 57211949667; 55536627700; 57195569546,"Investigating the communication network for batik village tourism stakeholders to support smart economy in Bogor regency, Indonesia",2024,"Unequal development is a major factor in measuring Indonesia's poverty problem, resulting in areas that are left behind. It is a primary concern of the government and stakeholders since it is unresolved and will lead to more problems in the community. Therefore, the government and stakeholders conduct various village developments to prosper the community. One is Batik village in Kemang, Bogor Regency, Indonesia. The Pakuan University of Bogor initiated the village development program. The collaboration forms a communication network and communication patterns to facilitate the delivery of messages. This study aims to identify and analyze the communication network pattern of stakeholders in the development of Kampung Batik in Kemang, Bogor Regency, Indonesia. This study is designed using a qualitative approach through interviews with relevant stakeholders. The communication network was analyzed using Sociometric Analysis through UCINET VI. The result indicates that the relationship between actors in the development of Kampung Batik is 75.5 percent and categorized as quite strong. Also, the communication pattern formed is an all-channel pattern with five actors who act as the star, bridge, opinion leader, liaison, cosmopolite, and isolate. This model supports the smart economy's potential to develop a smart village. © 2024 by the authors; licensee Growing Science, Canada.",", Batik village; Communication networks; Communication patterns; Smart economy; Smart village",English,Article,203,3,Urban Sustainability
59347211100; 59347211200; 23399061700; 59347892300,A Study on the Performance of B&B Operations Is Conducted in Sustainable Tourism,2024,"Taiwan’s bed and breakfast (B&B) industry has experienced significant development in its nearly 25-year history, transforming from B&B run by retirees to mature service providers that adopt modern business and Internet technology skills in line with sustainable lodging development. This study explores the basic professional capabilities required for the sustainable development of B&B management, including social-emotional intelligence (EQ) capabilities and their impact on the quality of sustainable tourism services. The study used the K–S Z test to assess the importance of various abilities, including emotional intelligence abilities, financial management abilities, technical skills abilities and marketing abilities. The findings, validated with p-values less than 0.05, confirm the multi-disciplinary nature of sustainable tourism management skills in B&Bs and highlight their importance in sustainable service attitudes and strategic marketing. The identified capabilities are not only crucial for the sustainable development of the B&B industry, but are also crucial for contributing to the B&B’s national diplomacy and sustainable development status in global tourism. This study provides both novice and experienced B&B operators with actionable insights to improve their operational efficiency and achieve sustainable tourism development goals. © 2024 by the authors.","B&B business performance capacity; capability indicators; emotion management; financial management; marketing and promotion management capabilities; marketing capabilities; skills’ technical capabilities; sustainability tourism; tourism economy, Taiwan; artificial intelligence; business development; ecotourism; marketing; performance assessment; Sustainable Development Goal; tourism development; tourism management",English,Article,187,11,Rural Resource Management
57211319051; 57220108374; 59358565500; 57226778225; 59357578300,"Malaysia Modern Rural Ranking Index: Validated Dimensions, Criteria Groups, and Performance Criteria",2024,"In Malaysia, rural areas are essential economic focal points for improving rural livelihoods and reducing the life quality gaps between urban and rural areas. To that extent, rural assets and resources, such as agricultural, entrepreneurial, business, and tourism, along with rural infrastructure and service centres, become important elements to further explore and assess for synergising rural change towards a modern approach. To our knowledge, no attempt has been made to assess rural development progress based on the transition towards a modern rural approach. Inspired by this, the study aims to offer a Malaysia modern rural ranking index, the Malaysia Assessment Measure for Modern Rural Development (MAMRD)—a missing link approach for assessing rural development progress towards a modern rural system. The MAMRD was validated based on focus group discussions (FGDs) on three case studies and finally constructed on the three dimension-objectives measure, comprising 13 criteria groups and 141 criteria, to rank a village in a MAMRD star rating index. Using the MAMRD for the rural assessment is reliable for assessing the rural performance towards the future niches of rural development in Malaysia—rural resilient-liveability-and-smart. © Universiti Putra Malaysia Press.",", MAMRD; modern rural; resilient-liveability-and-smart; rural infrastructure; technology practices",English,Article,187,11,Rural Resource Management
59350186000; 55843976900; 59349607000; 59350301400,Multimodal Transportation Planning for Intercity Travel Between Alexandria and Borg Al Arab Cities,2024,"Traffic congestion in Egyptian cities is a major issue due to unplanned and private vehicles, impacting land use, housing, and development. A study aims to improve accessibility and mobility by implementing a multimodal transportation system, reducing private vehicle usage, and attracting sustainable transit investments. The research questions include mode of transport, destination distance, passenger walking distance, integration principles, and multimodal effects on land use and attraction. The study employs a qualitative approach, utilizing data collection, literature reviews, and analytical examples. It employs a geographic information system (GIS) analysis program to examine existing and proposed cases, demonstrating the effectiveness of multimodal transportation in connecting intercity, promoting smart urban growth, and attracting investments. It transforms land use from mono-use to diverse, contributing alternative downtown and activating job opportunities. This approach revitalizes neglected lands, reduces traffic congestion, and creates green spaces. It also encourages the TOD concept. Furthermore, it improves the environment and health and reduces urban congestion, contributing to urban development. Overall, multimodal transportation is a significant contributor to urban growth. Moreover, future policies should consider various transportation modes, public-private partnerships, infrastructure investment, technology integration, accessibility, and sustainable modes, with community engagement and policy support prioritizing multimodal transportation and raising awareness. ©2024 The authors.",", accessibility; mobility; multimodal transportation system; sustainability; traffic congestion; transit oriented development (TOD)",English,Article,202,4,Mobility and Transportation
55595936800; 59305994200; 59305828100; 59305994300,Detection of Urban Space Community Structures in Island-Oriented Cities Based on Smart Bus Card Data,2024,"The urban space community is the basic unit used to demonstrate the urban spatial structure, and the space community structure of island-oriented cities is different from that of general inland cities because they are formed based on the island and the inland, respectively. Through the case study of Xiamen, based on smart card data, this paper divides the obtained origin-destination data into local and global levels with trip cutoff thresholds. The distribution of city centers is analyzed by detecting the overall urban space community structure and the two-level intraisland and cross-island urban space community structure with the PageRank and community detection algorithms. The results revealed that: (1) in the spatial structure of the island-oriented city, the cores are clustered on the island, while the centers are distributed in bands and dots outside the island; (2) the community units are distributed across the island; and (3) the space community boundary of the island-oriented city is quite different from the artificially defined administrative unit boundary. To summarize, by enhancing the delineation of urban spatial communities using the Gaussian kernel function and least-squares cross-validation, improving the model granularity, and integrating data from multiple public transport modes, this paper achieved a more precise division of urban spatial community structures. Consequently, it revealed the distinctive urban form and developmental pattern of the island-oriented city, holding significant implications for investigating urban spatial layout studies. © 2024 American Society of Civil Engineers.","China; Fujian; Xiamen; Basic units; Community detection; Community IS; Community structures; Island-oriented city; Smart card data; Space community; Trip cutoff threshold; Urban space structures; Urban spaces; bus transport; public transport; urban area; urban development, Community detection; Island-oriented city; Smart card data (SCD); Trip cutoff threshold; Urban space structure",English,Article,235,3,Urban Sustainability
57217826346,Can digital economy improve tourism economic resilience? Evidence from China,2024,"The digital economy has become an important driver of resilient growth in tourism economy. Taking China as the research object, it is found that the digital economy not only has a positive spatial spillover effect on tourism economic resilience but also mitigates the negative impact of the COVID-19 pandemic. The heterogeneity test shows that the digital economy has a spatial diffusion effect on tourism economic resilience in the eastern, western, and southern regions and a spatial siphoning effect on the non-pilot areas of the National Smart Tourism Pilot Policy. The result of influence mechanism test proves that the digital economy can contribute to the tourism economic resilience by stimulating tourism fiscal expenditure, guiding tourism industry cluster, and increasing tourism consumption. The findings of the study have important policy implications for China and other countries around the world in using the digital economy to promote sustainable tourism development. © The Author(s) 2023.","COVID-19; digital economy; influence mechanism; spatial diffusion effect; tourism economic resilience, China; COVID-19; growth response; spillover effect; tourism development; tourism economics; tourism management",English,Article,151,11,Rural Resource Management
7201966448; 7404491150,Urban walkability and tour bus travel,2024,"Urban walkability is receiving increasing research attention due to the environmental and health benefits of walking in comparison to driving, yet little is known regarding the walking behaviors of urban visitors who arrive by tour bus. The purpose of this study is to investigate the walking behaviors of diverse tour bus user groups visiting a spatially complex urban destination to better understand urban walkability, barriers to walking, and the derived benefits to walking for tour bus participants. Using an immersive mixed-methods approach, researchers collected eight days of on-bus/off-bus data to document information specific to walking activities, site-to-site transport, tour bus cruising/idling, operational efficiency, mobility, access, and safety. Four target visitor groups included school age, adults, international, and senior citizen veterans. Pedestrian miles traveled ranged from 2.0 to 10.5 miles during tours that lasted between 4.30 and 14.15 h, while primary barriers to walking included itineraries, weather, and safety considerations. Addressing the psychology of walking to evolve from utilitarian to a purposefully integrated leisure activity within tour bus itineraries is the key to decreasing dependency on tour buses for site-to-site transport in urban destinations. Management implications: • Spatially complex urban park designs should consider walkability factors such as access, connectivity, path quality, safety, and aesthetics.•Policies that highlight and reward smart mobility should be prioritized to increase utilitarian and leisure walking in urban parks.•Tour mode bundles should purposefully embed walking activities in itineraries to increase physical benefits and participant satisfaction. © 2024 Elsevier Ltd",", Constraints; Tour bus travel; Urban parks; Walkability; Walking benefits",English,Article,242,4,Mobility and Transportation
59251558500; 55573249600,Improving consumer-based destination green brand equity: The role of green practices and artificial intelligence,2024,"Due to the rapid increase in global warming and environmental disasters, destination management and tourists' environmental awareness have increased. This increase in environmental awareness has led destinations to prioritize green practices that reduce environmental pollution. Moreover, in recent years, with the rapid development of technology, artificial intelligence technology has also been used in applications that reduce environmental pollution in destinations. This is because environmentally friendly products and services offered by destinations have started to have an impact on tourists' travel choices. Additionally, tourists' awareness and loyalty towards environmentally friendly destinations have started to increase, resulting in the formation of brand value for destinations. Therefore, green practices and AI technologies play a role in the formation of consumer-based destination green brand value. © 2024 Alhamzah Alnoor, Gül Erkol Bayram, Chew XinYing and Syed Haider Ali Shah. All rights reserved.",", Artificial intelligence; Consumer-based destination green brand value; Green brand equity; Green destinations; Green practices",English,Book chapter,138,3,Urban Sustainability
